(1, 52.6748)
(2, 96.0747)
(1, 51.6802)
(2, 98.7758)
(3, 134.647)
(1, 51.0585)
(2, 98.7585)
(3, 128.3)
(4, 164.164)
(1, 51.0219)
(2, 96.8249)
(3, 134.523)
(4, 166.675)
(5, 195.124)
(1, 51.5067)
(2, 81.9356)
(3, 133.778)
(4, 165.937)
(5, 193.304)
(6, 217.471)
(1, 52.3564)
(2, 81.2195)
(3, 132.307)
(4, 161.347)
(5, 189.794)
(6, 216.716)
(7, 237.826)
(1, 51.4443)
(2, 81.4991)
(3, 133.082)
(4, 154.798)
(5, 189.638)
(6, 217.665)
(7, 239.466)
(8, 257.723)
(1, 50.397)
(2, 80.5069)
(3, 131.371)
(4, 169.862)
(5, 189.164)
(6, 215.295)
(7, 239.575)
(8, 260.176)
(9, 279.035)
(1, 51.4797)
(2, 83.2989)
(3, 118.098)
(4, 156.305)
(5, 189.479)
(6, 215.543)
(7, 240.168)
(8, 258.126)
(9, 275.422)
(10, 289.083)
(1, 51.7801)
(2, 81.283)
(3, 119.108)
(4, 168.805)
(5, 185.18)
(6, 213.008)
(7, 232.979)
(8, 252.995)
(9, 276.354)
(10, 291.649)
(11, 308.559)
(1, 51.8635)
(2, 79.9344)
(3, 120.001)
(4, 152.951)
(5, 172.854)
(6, 208.65)
(7, 232.991)
(8, 256.165)
(9, 277.383)
(10, 289.766)
(11, 307.706)
(12, 320.115)
(1, 52.1475)
(2, 82.0433)
(3, 117.492)
(4, 151.75)
(5, 183.101)
(6, 216.037)
(7, 231.803)
(8, 255.902)
(9, 270.729)
(10, 289.505)
(11, 306.405)
(12, 326.082)
(13, 339.015)
(1, 52.5845)
(2, 83.6321)
(3, 116.949)
(4, 155.484)
(5, 181.478)
(6, 205.756)
(7, 232.975)
(8, 254.301)
(9, 274.369)
(10, 292.865)
(11, 312.351)
(12, 324.655)
(13, 341.385)
(14, 352.992)
(1, 51.9542)
(2, 93.2214)
(3, 117.262)
(4, 152.486)
(5, 186.338)
(6, 210.675)
(7, 235.251)
(8, 253.718)
(9, 273.375)
(10, 296.988)
(11, 305.799)
(12, 319.299)
(13, 339.004)
(14, 352.695)
(15, 367.426)
(1, 50.217)
(2, 80.0978)
(3, 115.697)
(4, 157.799)
(5, 184.3)
(6, 208.005)
(7, 230.428)
(8, 254.171)
(9, 277.141)
(10, 291.388)
(11, 313.043)
(12, 327.583)
(13, 337.417)
(14, 352.151)
(15, 366.051)
(16, 378.316)
(1, 52.8518)
(2, 71.4314)
(3, 116.58)
(4, 124.799)
(5, 189.528)
(6, 207.685)
(7, 234.149)
(8, 257.077)
(9, 273.738)
(10, 291.737)
(11, 309.929)
(12, 325.437)
(13, 337.221)
(14, 355.248)
(15, 363.617)
(16, 382.308)
(17, 397.797)
(1, 49.9952)
(2, 68.6217)
(3, 119.27)
(4, 149.479)
(5, 185.217)
(6, 205.55)
(7, 235.338)
(8, 254.719)
(9, 277.701)
(10, 292.145)
(11, 305.829)
(12, 322.055)
(13, 339.699)
(14, 356.51)
(15, 366.982)
(16, 379.532)
(17, 392.116)
(18, 409.894)
(1, 52.5997)
(2, 96.5764)
(3, 121.036)
(4, 152.704)
(5, 184.967)
(6, 207.605)
(7, 236.615)
(8, 255.223)
(9, 274.962)
(10, 293.056)
(11, 310.846)
(12, 323.303)
(13, 341.286)
(14, 356.149)
(15, 371.538)
(16, 379.624)
(17, 392.818)
(18, 409.867)
(19, 418.361)
(1, 51.1962)
(2, 82.3066)
(3, 115.191)
(4, 150.649)
(5, 166.157)
(6, 211.494)
(7, 231.667)
(8, 252.955)
(9, 272.378)
(10, 292.042)
(11, 308.974)
(12, 324.027)
(13, 342.006)
(14, 355.016)
(15, 368.571)
(16, 383.918)
(17, 393.737)
(18, 404.988)
(19, 422.174)
(20, 428.104)
(1, 52.3163)
(2, 96.4078)
(3, 115.977)
(4, 147.306)
(5, 184.976)
(6, 208.532)
(7, 237.149)
(8, 256.011)
(9, 277.875)
(10, 289.639)
(11, 310.332)
(12, 318.601)
(13, 341.228)
(14, 358.532)
(15, 363.807)
(16, 381.024)
