(1, 15.2534)
(2, 13.893)
(1, 15.4005)
(2, 26.8497)
(3, 14.3685)
(1, 13.1069)
(2, 28.2844)
(3, 14.0117)
(4, 14.2959)
(1, 13.4582)
(2, 26.8445)
(3, 26.3992)
(4, 12.4707)
(5, 11.9429)
(1, 13.1496)
(2, 25.1284)
(3, 37.7784)
(4, 11.301)
(5, 11.2033)
(6, 11.139)
(1, 11.4318)
(2, 28.6272)
(3, 37.1483)
(4, 11.7141)
(5, 12.0526)
(6, 11.6999)
(7, 11.5311)
(1, 11.9428)
(2, 22.2309)
(3, 37.8674)
(4, 25.1669)
(5, 11.5647)
(6, 11.512)
(7, 12.3246)
(8, 11.5513)
(1, 11.2444)
(2, 21.8258)
(3, 33.5339)
(4, 39.4605)
(5, 11.7209)
(6, 11.8311)
(7, 11.7012)
(8, 12.1024)
(9, 11.324)
(1, 11.031)
(2, 23.5428)
(3, 33.2733)
(4, 45.5716)
(5, 11.9743)
(6, 11.5555)
(7, 11.7248)
(8, 11.026)
(9, 12.4554)
(10, 11.7886)
(1, 11.4648)
(2, 22.2203)
(3, 30.2283)
(4, 44.8896)
(5, 11.9528)
(6, 12.2279)
(7, 11.9556)
(8, 11.7645)
(9, 11.855)
(10, 12.1402)
(11, 11.6877)
(1, 11.4085)
(2, 21.8367)
(3, 29.766)
(4, 45.386)
(5, 19.107)
(6, 6.79264)
(7, 7.17616)
(8, 7.2873)
(9, 6.89799)
(10, 7.16549)
(11, 7.15376)
(12, 6.95933)
(1, 11.0401)
(2, 22.7418)
(3, 29.0246)
(4, 44.7747)
(5, 25.6509)
(6, 7.00859)
(7, 7.12921)
(8, 6.96259)
(9, 7.0137)
(10, 6.89341)
(11, 6.5814)
(12, 6.80303)
(13, 6.48661)
(1, 11.2833)
(2, 21.9874)
(3, 30.323)
(4, 42.1596)
(5, 33.054)
(6, 7.05371)
(7, 7.07911)
(8, 7.02073)
(9, 6.93585)
(10, 7.0597)
(11, 6.68407)
(12, 6.4548)
(13, 7.08169)
(14, 7.09375)
(1, 11.07)
(2, 21.7582)
(3, 29.7853)
(4, 37.093)
(5, 46.4324)
(6, 7.32265)
(7, 6.64766)
(8, 6.95135)
(9, 6.45113)
(10, 6.91064)
(11, 6.84743)
(12, 6.65228)
(13, 7.02763)
(14, 7.00185)
(15, 7.04141)
(1, 11.5226)
(2, 22.632)
(3, 28.9638)
(4, 44.3438)
(5, 37.5271)
(6, 6.82124)
(7, 7.52474)
(8, 6.65399)
(9, 6.60253)
(10, 6.92931)
(11, 6.90204)
(12, 6.61261)
(13, 7.06944)
(14, 6.75593)
(15, 6.7936)
(16, 7.00497)
(1, 11.64)
(2, 22.4413)
(3, 28.7845)
(4, 31.4641)
(5, 52.1539)
(6, 13.0271)
(7, 6.8416)
(8, 6.80027)
(9, 6.59165)
(10, 6.42398)
(11, 7.06613)
(12, 6.29534)
(13, 6.58885)
(14, 6.53659)
(15, 6.60483)
(16, 6.92678)
(17, 6.71978)
(1, 11.5337)
(2, 22.4136)
(3, 29.1862)
(4, 31.8381)
(5, 47.8282)
(6, 24.1144)
(7, 7.10016)
(8, 6.79064)
(9, 6.80459)
(10, 6.69129)
(11, 7.18153)
(12, 6.79342)
(13, 7.25611)
(14, 6.93596)
(15, 6.87312)
(16, 7.11396)
(17, 7.32189)
(18, 6.887)
(1, 11.6565)
(2, 22.3734)
(3, 29.3354)
(4, 27.3382)
(5, 51.3354)
(6, 31.8022)
(7, 6.64328)
(8, 7.01172)
(9, 7.0372)
(10, 6.84774)
(11, 6.65195)
(12, 6.92914)
(13, 6.75537)
(14, 6.78918)
(15, 6.72161)
(16, 6.65019)
(17, 6.96579)
(18, 7.05918)
(19, 7.08406)
(1, 5.63369)
(2, 23.8269)
(3, 32.7117)
(4, 31.3626)
(5, 45.5362)
(6, 37.9379)
(7, 6.99959)
(8, 7.15999)
(9, 6.9824)
(10, 6.64365)
(11, 6.7876)
(12, 7.02106)
(13, 6.92249)
(14, 7.20292)
(15, 6.96155)
(16, 7.35179)
(17, 7.14456)
(18, 6.52763)
(19, 7.23192)
(20, 6.91618)
(1, 6.30907)
(2, 17.941)
(3, 31.1995)
(4, 34.1441)
(5, 50.0039)
(6, 45.633)
(7, 6.72996)
(8, 6.90496)
(9, 6.62762)
(10, 6.79251)
(11, 6.62874)
(12, 6.62371)
(13, 7.20601)
(14, 6.86578)
(15, 6.52861)
(16, 6.72755)
(17, 6.34063)
(18, 7.12544)
(19, 6.44097)
(20, 7.59842)
(21, 7.13514)
(1, 6.73514)
(2, 23.7465)
(3, 23.81)
(4, 34.6241)
(5, 44.9367)
(6, 51.021)
(7, 7.08257)
(8, 6.80396)
(9, 6.85564)
(10, 6.86734)
(11, 6.66256)
