K,R,RANDOMS,l,B,disjoint,worse,n_pred,approximation
10,2,0,10.0,2.0,1,0,0,0.831372549
10,2,0,10.0,2.0,1,0,1,1.0
10,2,0,10.0,2.0,1,0,2,1.0
10,2,0,10.0,2.0,1,1,0,0.831372549
10,2,0,10.0,2.0,1,1,1,1.0
10,2,0,10.0,2.0,1,1,2,0.980392157
20,5,0,10.0,2.0,1,0,0,0.793269231
20,5,0,10.0,2.0,1,0,1,1.0
20,5,0,10.0,2.0,1,0,2,1.0
20,5,0,10.0,2.0,1,0,3,1.0
20,5,0,10.0,2.0,1,0,4,1.0
20,5,0,10.0,2.0,1,0,5,1.0
20,5,0,10.0,2.0,1,1,0,0.793269231
20,5,0,10.0,2.0,1,1,1,1.0
20,5,0,10.0,2.0,1,1,2,0.990384615
20,5,0,10.0,2.0,1,1,3,0.980769231
20,5,0,10.0,2.0,1,1,4,0.971153846
20,5,0,10.0,2.0,1,1,5,0.961538462
30,7,0,10.0,2.0,1,0,0,0.8
30,7,0,10.0,2.0,1,0,1,1.0
30,7,0,10.0,2.0,1,0,2,1.0
30,7,0,10.0,2.0,1,0,3,1.0
30,7,0,10.0,2.0,1,0,4,1.0
30,7,0,10.0,2.0,1,0,5,1.0
30,7,0,10.0,2.0,1,0,6,1.0
30,7,0,10.0,2.0,1,0,7,1.0
30,7,0,10.0,2.0,1,1,0,0.8
30,7,0,10.0,2.0,1,1,1,1.0
30,7,0,10.0,2.0,1,1,2,0.993589744
30,7,0,10.0,2.0,1,1,3,0.987179487
30,7,0,10.0,2.0,1,1,4,0.980769231
30,7,0,10.0,2.0,1,1,5,0.974358974
30,7,0,10.0,2.0,1,1,6,0.967948718
30,7,0,10.0,2.0,1,1,7,0.961538462
40,10,0,10.0,2.0,1,0,0,0.789473684
40,10,0,10.0,2.0,1,0,1,1.0
40,10,0,10.0,2.0,1,0,2,1.0
40,10,0,10.0,2.0,1,0,3,1.0
40,10,0,10.0,2.0,1,0,4,1.0
40,10,0,10.0,2.0,1,0,5,1.0
40,10,0,10.0,2.0,1,0,6,1.0
40,10,0,10.0,2.0,1,0,7,1.0
40,10,0,10.0,2.0,1,0,8,1.0
40,10,0,10.0,2.0,1,0,9,1.0
40,10,0,10.0,2.0,1,0,10,1.0
40,10,0,10.0,2.0,1,1,0,0.789473684
40,10,0,10.0,2.0,1,1,1,1.0
40,10,0,10.0,2.0,1,1,2,0.995215311
40,10,0,10.0,2.0,1,1,3,0.990430622
40,10,0,10.0,2.0,1,1,4,0.985645933
40,10,0,10.0,2.0,1,1,5,0.980861244
40,10,0,10.0,2.0,1,1,6,0.976076555
40,10,0,10.0,2.0,1,1,7,0.971291866
40,10,0,10.0,2.0,1,1,8,0.966507177
40,10,0,10.0,2.0,1,1,9,0.961722488
40,10,0,10.0,2.0,1,1,10,0.956937799
50,12,0,10.0,2.0,1,0,0,0.794176245
50,12,0,10.0,2.0,1,0,1,1.0
50,12,0,10.0,2.0,1,0,2,1.0
50,12,0,10.0,2.0,1,0,3,1.0
50,12,0,10.0,2.0,1,0,4,1.0
50,12,0,10.0,2.0,1,0,5,1.0
50,12,0,10.0,2.0,1,0,6,1.0
50,12,0,10.0,2.0,1,0,7,1.0
50,12,0,10.0,2.0,1,0,8,1.0
50,12,0,10.0,2.0,1,0,9,1.0
50,12,0,10.0,2.0,1,0,10,1.0
50,12,0,10.0,2.0,1,0,11,1.0
50,12,0,10.0,2.0,1,0,12,1.0
50,12,0,10.0,2.0,1,1,0,0.794176245
50,12,0,10.0,2.0,1,1,1,1.0
50,12,0,10.0,2.0,1,1,2,0.996168582
50,12,0,10.0,2.0,1,1,3,0.992337165
50,12,0,10.0,2.0,1,1,4,0.988505747
50,12,0,10.0,2.0,1,1,5,0.98467433
50,12,0,10.0,2.0,1,1,6,0.980842912
